Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
12/12/2025,AXSM,AXSM,S,C2,16
12/12/2025,AXSM,AXSM,S,CBOE,6
12/12/2025,AXSM,AXSM,S,EDGX,8
12/15/2025,AXSM,AXSM,S,BATS,6
12/15/2025,AXSM,AXSM,S,C2,1
12/15/2025,AXSM,AXSM,S,CBOE,48
12/15/2025,AXSM,AXSM,S,EDGX,12
12/16/2025,AXSM,AXSM,S,BATS,1
12/16/2025,AXSM,AXSM,S,CBOE,40
12/16/2025,AXSM,AXSM,S,EDGX,7
12/17/2025,AXSM,AXSM,S,BATS,14
12/17/2025,AXSM,AXSM,S,CBOE,6
12/17/2025,AXSM,AXSM,S,EDGX,1
12/18/2025,AXSM,AXSM,S,BATS,5
12/18/2025,AXSM,AXSM,S,CBOE,21
12/18/2025,AXSM,AXSM,S,EDGX,11
12/19/2025,AXSM,AXSM,S,BATS,19
12/19/2025,AXSM,AXSM,S,C2,3
12/19/2025,AXSM,AXSM,S,CBOE,148
12/19/2025,AXSM,AXSM,S,EDGX,108
12/22/2025,AXSM,AXSM,S,BATS,8
12/22/2025,AXSM,AXSM,S,CBOE,51
12/22/2025,AXSM,AXSM,S,EDGX,26
12/23/2025,AXSM,AXSM,S,BATS,3
12/23/2025,AXSM,AXSM,S,CBOE,8
12/23/2025,AXSM,AXSM,S,EDGX,6
12/24/2025,AXSM,AXSM,S,CBOE,7
12/26/2025,AXSM,AXSM,S,BATS,1
12/26/2025,AXSM,AXSM,S,CBOE,4
12/26/2025,AXSM,AXSM,S,EDGX,10
12/29/2025,AXSM,AXSM,S,BATS,1
12/29/2025,AXSM,AXSM,S,CBOE,3
12/29/2025,AXSM,AXSM,S,EDGX,1
12/30/2025,AXSM,AXSM,S,BATS,39
12/30/2025,AXSM,AXSM,S,C2,3
12/30/2025,AXSM,AXSM,S,CBOE,12
12/30/2025,AXSM,AXSM,S,EDGX,9
12/31/2025,AXSM,AXSM,S,BATS,366
12/31/2025,AXSM,AXSM,S,C2,24
12/31/2025,AXSM,AXSM,S,CBOE,1287
12/31/2025,AXSM,AXSM,S,EDGX,174
1/2/2026,AXSM,AXSM,S,BATS,140
1/2/2026,AXSM,AXSM,S,C2,30
1/2/2026,AXSM,AXSM,S,CBOE,193
1/2/2026,AXSM,AXSM,S,EDGX,146
1/5/2026,AXSM,AXSM,S,BATS,41
1/5/2026,AXSM,AXSM,S,C2,17
1/5/2026,AXSM,AXSM,S,CBOE,77
1/5/2026,AXSM,AXSM,S,EDGX,122
1/6/2026,AXSM,AXSM,S,BATS,48
1/6/2026,AXSM,AXSM,S,C2,60
1/6/2026,AXSM,AXSM,S,CBOE,138
1/6/2026,AXSM,AXSM,S,EDGX,98
1/7/2026,AXSM,AXSM,S,BATS,11
1/7/2026,AXSM,AXSM,S,C2,94
1/7/2026,AXSM,AXSM,S,CBOE,175
1/7/2026,AXSM,AXSM,S,EDGX,146
1/8/2026,AXSM,AXSM,S,BATS,52
1/8/2026,AXSM,AXSM,S,C2,40
1/8/2026,AXSM,AXSM,S,CBOE,64
1/8/2026,AXSM,AXSM,S,EDGX,52
1/9/2026,AXSM,AXSM,S,BATS,31
1/9/2026,AXSM,AXSM,S,C2,7
1/9/2026,AXSM,AXSM,S,CBOE,15
1/9/2026,AXSM,AXSM,S,EDGX,41
1/12/2026,AXSM,AXSM,S,BATS,42
1/12/2026,AXSM,AXSM,S,C2,17
1/12/2026,AXSM,AXSM,S,CBOE,28
1/12/2026,AXSM,AXSM,S,EDGX,75
1/13/2026,AXSM,AXSM,S,BATS,7
1/13/2026,AXSM,AXSM,S,C2,4
1/13/2026,AXSM,AXSM,S,CBOE,37
1/13/2026,AXSM,AXSM,S,EDGX,25
1/14/2026,AXSM,AXSM,S,BATS,4
1/14/2026,AXSM,AXSM,S,C2,3
1/14/2026,AXSM,AXSM,S,CBOE,30
1/14/2026,AXSM,AXSM,S,EDGX,23
1/15/2026,AXSM,AXSM,S,BATS,70
1/15/2026,AXSM,AXSM,S,C2,2
1/15/2026,AXSM,AXSM,S,CBOE,45
1/15/2026,AXSM,AXSM,S,EDGX,74
1/16/2026,AXSM,AXSM,S,BATS,217
1/16/2026,AXSM,AXSM,S,C2,4
1/16/2026,AXSM,AXSM,S,CBOE,88
1/16/2026,AXSM,AXSM,S,EDGX,74
1/20/2026,AXSM,AXSM,S,BATS,21
1/20/2026,AXSM,AXSM,S,C2,142
1/20/2026,AXSM,AXSM,S,CBOE,280
